game_Starts,Villain,villain_Trait,plot_twist
"The party starts as captives of a massive organization of Ogres who are looking to put the characters into a salt mine for the rest of their lives. As the guard has his back turned for a moment, the party catches a glimpse of a key ring around his belt. Could that unlock their shackles?",1,"This villain tries to remain hidden from the players and does all of their evil work through third parties. The villain never wants their identity known, perhaps because they are someone who is close to the players.",You were dead the whole time.
"A merchant sold each party member a lemon item- a cracked hammer, tin-plated armor, etc. The party meets outside his shop, which is 'coincedentally' closed.",2,"This villain is cruel and brutal, and likes to show the players just how powerful they are with vulgar displays of violence.",The Big Bad was actually framed.
"Someone dug a deep pit trap in the road, and a character (or someone else) has fallen in. The party gets together to help them out.",3,"This villain is cold and calculating. They always have a backup plan for every scenario, and are always 3 steps ahead of everyone else. They are considered an 'evil genius'.","Someone important is actually a doppleganger, and has been for a while."
The party starts as gladiators and must fight each other. ,4,"This villain is 100% convinced that THEY are the good guy, and the players are in the wrong. Nothing anyone can do can show them otherwise.",Someone thought to be dead turns out to be still alive.
They start receiving a letter which states they have inherited a county from the same man claiming to be their father. A trap threatens an innocent NPC and the PCs will need to work together to save them.,5,This villain does not have long to live and they know it. They have some sort of disease that is slowly eating away at them. They are trying to conduct their evil master plan before they succumb to the disease.,The party runs into a group of friends they thought were long dead.
"They are all framed for the same murder/robbery, and meet in jail.",,This villain fiends for power and will do whatever it takes to obtain it by augmenting and affixing objects and creatures of power to itself.,Someone who believed themselves to be a peasant or commoner discovers they're actually royalty.
"The party all have ties to a specific Church. They may be members of the Clergy, Enforcers, or someone who has a negative tie to said Church.",,This villain hears a cacophony of voices and is deeply devout to their 'divine' whims and therefore they can appear erratic.,A person turns out to be an undercover investigator.
"The party start traveling on a busy roadway. The PCs then end up in the middle of a heated stand-off between two factions: pixie and triton, where they'll need to resolve tensions or choose a side.",,"This villain is scarred, wiry, and resolute. They believe strength is found through suffering and seek to strengthen their community whether they like it or not.",Two NPCs are actually the same person in disguise.
"A party member (or several) are all aboard a trade ship headed across the sea to deliver rare goods, when their ship is swallowed by a giant whale/sea monster! Inside it's gullet are the rest of the party and several other rough-looking sea folk in what looks to be a small town hobbled together out of several shipwrecks.",,"The villain is a glutton, and is always seen either with some food or drink on their person. This food is either decadent, expensive, or taboo, or a mixture of the three.","The area has been taken over by puppeteer parasites, and people are not acting of their own will."
"Each character steps into a magical portal leading (players can choose intended destination). A random teleportation mishap puts them together in the bottom of a cave, holding each other's gear.",,"This villain lives for the cheese. They monologue, toy with their foes, and treat the whole experience as a game. However, should the heroes ruin their fun, they'll take their job MUCH more seriously and destroy the heroes lives.",A PC realises that one of their most important memories was magically implanted.
"A strange plague has run rampant through the town, turning nearly everyone to stone. Your party were unaffected and meet in the silent inn, filled with statues.",,"This villain has a remarkable scar, mutation or other noteworthy feature that feels unnatural.",Genre switch. Reroll: https://perchance.org/storygenreideasgen
Each party member is being blackmailed (using their respective bonds). The blackmailer has gathered them together with the offer of a score big enough to wipe away their debt.,,This villain is obsessed with perfection. They don't have a scar on their body due to constant magical healing. It's unnatural.,The PCs are magically transported to a new location. Roll here: https://www.kassoon.com/dnd/interesting-locations/
"The inn the characters are staying at is shockingly packed. They are forced to share a table. A local tough claims it is her reserved table and demands the party leave, or face her gang...",,"This villain is obsessed with nature. They dress like a druid, and fashion their house and home in nature-themed décor.",A PC's Sentimental Item is actually the key to a legendary weapon.
The party each owe an important debt to another party member (have them work out whom owes whom).,,This villain is strangely superstitious. They will throw away entire plans simply because of a small belief or superstition.,The party finds evidence that they've somehow traveled through time and this new location is actually their old home many years in the future.
